PVC_Nr,Batch,Subject,Sow,L_w,R_w,L_t,R_t,L_f,R_f,LI_w,z_score_w,bias_w,LI_f,z_score_f,bias_f,LI_t,z_score_t,bias_t,Test_Nr,elim_freq,expl_dur,expl_freq,head_invisible,jump_freq,knee_dur,knee_freq,locom_dur,locom_freq,no_expl_dur,no_expl_freq,stand_dur,stand_freq,OFT_voc_freq,sit_ly_freq,expl_obj_dur,expl_obj_freq,NOT_inter_voc_dur,lat_expl_obj_dur,no_expl_obj_dur,no_expl_obj_freq,chew_dur,chew_freq,expl_wob_dur,expl_wob_freq,freez_dur,freez_freq,BIBAGO_inter_voc_dur,expl_wob_lat,no_expl_wob_dur,no_expl_wob_freq,BIBAGO_voc_freq,wob_open
8646,4,11,781,19,37,0,64,73,0,0.321428571428571,2.40535117721182,R,-1,-8.54400374531753,L,1,8,R,1,4,35.044,11,0,1,0,0,114.3,35,234.935,12,154.878,37,139,0,13.08,4,5.217,7.089,249.824,4,3.242,2,6.292,6.292,8.545,2,8.756,6.609,257.092,4,125,0
8653,6,4,728,17,7,42,33,0,75,NA,NA,NA,1,8.66025403784439,R,-0.12,-1.03923048454133,A,1,4,58.296,16,0,3,4.989,3,89.853,27,211.673,16,169.341,34,221,0,145.5,6,8.564,25.254,99.235,6,0,0,5.949,5.949,29.209,8,5.548,45.75,217.341,5,148,0
8670,4,5,743,51,12,31,48,0,74,-0.619047619047619,-4.91353814911995,L,1,8.60232526704263,R,0.215189873417722,1.91264943157424,A,1,5,65.989,9,0,0,0,0,107.132,28,203.993,10,162.814,27,73,0,10.593,5,9.132,9.833,249.565,5,21.896,9,15.996,15.996,15.744,4,0,57.005,200.888,4,81,0
8672,6,8,813,30,51,35,42,0,70,0.259259259259259,2.33333333333333,R,1,8.36660026534076,R,0.0909090909090909,0.797724035217466,A,1,5,61.296,13,0,2,0,0,88.456,30,208.678,14,179.232,30,245,0,84.846,6,2.441,15.843,169.3,6,67.914,16,63.925,63.925,27.948,8,17.25,23.399,182.667,5,47,0
8696,4,14,743,13,77,78,1,74,0,0.711111111111111,6.74619234169254,R,-1,-8.60232526704263,L,-0.974683544303797,-8.66317683713038,L,1,2,57.857,10,0,8,0,0,132.624,32,212.123,11,128.053,40,216,0,35.383,6,7.211,20.067,214.539,6,22.659,10,65.243,65.243,0,0,62.244,2.945,201.797,8,71,0
8706,4,6,588,32,54,13,47,0,74,0.255813953488372,2.37232101047565,R,1,8.60232526704263,R,0.566666666666667,4.38938112570174,R,1,2,40.102,11,0,5,0,0,90.668,41,229.876,12,175.499,47,186,0,10.296,4,5.785,1.435,258.262,4,11.845,4,58.043,58.043,8.552,2,6.154,2.653,204.926,15,113,0
8712,4,3,746,29,35,2,77,0,71,0.09375,0.75,A,1,8.42614977317636,R,0.949367088607595,8.43815925694518,R,1,5,50.288,15,0,2,8.498,2,81.908,31,219.682,16,177.53,35,192,0,12.843,4,3.003,3.755,253.395,4,0,0,1.905,1.905,23.499,6,0,115.328,152.764,2,97,0
8745,4,2,746,19,63,73,6,76,0,0.536585365853659,4.85898714729325,R,-1,-8.71779788708135,L,-0.848101265822785,-7.53808893620436,L,1,3,50.396,12,0,0,14.24,4,109.1,28,219.58,13,146.597,32,110,0,86.844,8,8.236,6.48,176.661,8,0,0,9.893,9.893,3.502,1,53.904,96.359,163.745,2,94,0
8803,5,5,783,24,17,3,29,18,37,-0.170731707317073,-1.09321633322024,A,0.345454545454545,2.56195947736032,R,0.8125,4.59619407771256,R,1,1,83.467,18,0,0,1.747,1,123.354,38,186.497,19,144.821,40,192,0,102.989,8,12.803,3.052,163.944,8,3.002,3,17.745,17.745,6.252,2,0,149.238,103.01,4,51,0
8828,4,15,762,42,52,1,78,73,0,0.106382978723404,1.03142124625879,A,-1,-8.54400374531753,L,0.974683544303797,8.66317683713038,R,1,4,35.995,11,0,4,0,0,93.828,33,233.983,12,172.244,38,228,0,85.646,11,23.974,2.977,181.356,11,12.501,5,23.042,23.042,21.753,6,0.379,1.633,245.31,8,178,0
8831,4,1,733,50,42,78,1,72,0,-0.0869565217391304,-0.834057656228299,A,-1,-8.48528137423857,L,-0.974683544303797,-8.66317683713038,L,1,5,17.755,6,0,1,0,0,79.376,26,252.233,7,189.324,27,134,0,32.497,5,15.414,11.413,87872.761,5,0,0,2.394,2.394,24.76,7,0,23.224,244.379,2,137,0
8938,4,12,784,15,56,73,3,0,66,0.577464788732394,4.8658047985948,R,1,8.12403840463596,R,-0.921052631578947,-8.02955068546966,L,1,3,11.601,5,0,0,0,0,108.172,36,258.389,6,161.756,37,197,0,24.391,6,24.362,26.713,218.885,6,74.76,20,95.744,95.744,0,0,83.373,3.119,171.122,8,16,0
8971,6,6,806,26,33,3,72,71,0,0.11864406779661,0.911322376865767,A,-1,-8.42614977317636,L,0.92,7.96743371481683,R,1,3,77.298,16,0,9,2.502,1,95.229,29,192.67,17,162.557,38,266,0,32.651,5,6.933,8.835,228.505,5,2.255,2,21.795,21.795,6.497,2,0.358,2.203,245.993,5,162,0
9014,5,3,793,28,42,31,1,5,52,0.2,1.67332005306815,A,0.824561403508772,6.22530207820571,R,-0.9375,-5.30330085889911,L,1,1,72.143,12,0,8,6.249,1,115.215,29,196.833,13,143.823,38,189,0,7.899,3,5.254,11.503,250.593,3,0,0,2.451,2.451,8.999,2,0,33.381,234.163,3,270,0
9027,5,6,795,11,19,24,7,37,20,0.266666666666667,1.46059348668044,A,-0.298245614035088,-2.25170500701057,L,-0.548387096774194,-3.05329013445517,L,1,5,101.63,19,0,0,0,0,106.761,30,168.332,20,163.18,30,62,0,120.709,10,23.11,43.659,103.614,10,5.499,1,5.002,5.002,0,0,94.146,44.844,220.151,2,0,0
9028,6,18,813,30,25,74,0,0,71,-0.0909090909090909,-0.674199862463242,A,1,8.42614977317636,R,-1,-8.60232526704263,L,1,4,50.285,13,0,5,0,0,90.979,28,219.69,13,175.213,33,208,0,90.599,6,5.267,50.169,129.221,6,1.498,1,11.194,11.194,46.254,12,6.265,14.718,244.077,6,81,0
9036,5,15,793,33,35,6,25,53,0,0.0294117647058824,0.242535625036333,A,-1,-7.28010988928052,L,0.612903225806452,3.41250073850872,R,1,3,74.039,14,0,0,0,0,107.674,30,195.933,15,162.267,30,165,0,10.897,6,5.545,32.194,226.898,6,6.005,4,15.695,15.695,8.743,2,0,132.296,122.002,4,124,0
9043,5,16,757,36,35,0,32,61,0,-0.0140845070422535,-0.118678165819385,A,-1,-7.81024967590665,L,1,5.65685424949238,R,1,5,16.853,6,0,3,0,0,59.528,22,253.135,7,208.174,26,161,0,23.084,7,11.577,15.827,231.076,7,121.263,22,156.784,156.784,0,0,2.111,8.959,104.223,17,27,0
9069,5,9,801,30,32,6,0,56,0,0.032258064516129,0.254000254000381,A,-1,-7.48331477354788,L,NA,NA,NA,1,5,77.395,14,0,0,0,0,101.292,32,192.577,15,167.441,31,56,0,15.841,6,17.056,107.608,146.54,6,12.6,6,17.17,17.17,3,1,26.725,158.876,93.948,3,40,0
9080,5,12,800,11,23,24,8,0,57,0.352941176470588,2.05798302171011,R,1,7.54983443527075,R,-0.5,-2.82842712474619,L,1,0,120.489,16,0,1,0,0,136.011,35,149.479,17,133.169,36,43,0,36.337,8,0.555,11.056,222.592,8,10.853,4,4.052,4.052,3.496,1,46.56,7.957,257.986,3,12,0
9089,6,13,806,23,51,73,4,65,0,0.378378378378378,3.25493388482694,R,-1,-8.06225774829855,L,-0.896103896103896,-7.86327977571502,L,1,4,52.633,15,0,3,0,0,143.913,39,217.338,15,124.751,43,236,0,43.645,6,5.995,40.191,186.153,6,75.252,21,75.476,75.476,5,1,0,61.171,133.33,12,37,0
9095,5,11,801,30,13,21,10,61,0,-0.395348837209302,-2.59247569565428,L,-1,-7.81024967590665,L,-0.354838709677419,-1.97565832229452,L,1,7,77.41,15,0,0,0,0,68.027,25,192.56,16,201.924,25,57,0,59.48,11,11.616,41.37,169.129,11,49.143,11,7.952,7.952,11.898,3,101.999,28.595,230.804,5,14,0
9100,6,10,772,11,5,34,31,0,65,NA,NA,NA,1,8.06225774829855,R,-0.0461538461538462,-0.372104203767625,A,1,4,50.238,14,0,1,0,0,106.242,29,219.734,15,163.448,30,153,0,93.936,6,4.411,3.906,172.147,6,5.497,2,6.65,6.65,14.397,4,8.298,22.446,240.901,2,37,0
